"","control","instnm","ccbasic","stabbr","female","first_gen","poverty_rate","veteran","unemp_rate","ug_whitenh","ug_aianold","ug_api","ug_blacknh","ug_hispold","ug_nra","ug_unkn","year"
"1",1,"Indiana University-Purdue University-Indianapolis",16,"IN",0.609940853,0.35086149,6.199999809,0.003943136,2.900000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"2",1,"University of Kansas",15,"KS",0.547597184,0.222240207,5.239999771,0.004285277,2.5,NA,NA,NA,NA,NA,NA,NA,"latest"
"3",2,"Boston College",15,"MA",0.518944844,0.131895687,5.929999828,NA,2.880000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"4",1,"Oakland University",16,"MI",0.607804233,0.324252609,5.739999771,0.002314815,3.210000038,NA,NA,NA,NA,NA,NA,NA,"latest"
"5",1,"University of Mississippi",15,"MS",0.608056266,0.235026918,12.17000008,0.001758312,3.640000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"6",1,"Missouri University of Science and Technology",16,"MO",0.241320189,0.224921278,7.309999943,NA,3.049999952,NA,NA,NA,NA,NA,NA,NA,"latest"
"7",2,"Washington University in St Louis",15,"MO",0.534246575,0.114071607,6.170000076,NA,3.039999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"8",1,"Montana State University",15,"MT",0.492807234,0.233182893,8.579999924,0.004932183,3.789999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"9",1,"University of Nebraska at Omaha",16,"NE",0.560827251,0.347865577,5.360000134,0.003041363,2.319999933,NA,NA,NA,NA,NA,NA,NA,"latest"
"10",1,"University of Nevada-Las Vegas",15,"NV",0.596626288,0.423497963,7.25,0.005207744,3.829999924,NA,NA,NA,NA,NA,NA,NA,"latest"
"11",1,"University of Colorado Boulder",15,"CO",0.481516291,0.203573185,4.519999981,0.003446115,2.730000019,NA,NA,NA,NA,NA,NA,NA,"latest"
"12",2,"University of Southern California",15,"CA",0.55406472,0.24717833,8.75,NA,3.670000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"13",2,"Yale University",15,"CT",0.500683995,0.25,7.769999981,NA,3.529999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"14",1,"Delaware State University",16,"DE",0.665422305,0.355045382,10.85000038,NA,4.650000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"15",1,"Florida International University",15,"FL",0.606936085,0.414037389,11.60000038,0.004528518,4.420000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"16",1,"Florida State University",15,"FL",0.584465415,0.27636404,8.899999619,0.002074043,3.619999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"17",1,"University of South Florida-Main Campus",15,"FL",0.605735746,0.357541899,7.980000019,0.004643223,3.200000048,NA,NA,NA,NA,NA,NA,NA,"latest"
