"","control","instnm","stabbr","npt4_pub","npt4_priv","costt4_a","grad_debt_mdn","avgfacsal","year"
"1",2,"Millikin University","IL",NA,20560,46026,27000,6133,"latest"
"2",2,"Monmouth College","IL",NA,17009,47726,27000,6789,"latest"
"3",2,"Illinois College","IL",NA,16625,42221,27000,7085,"latest"
"4",2,"Quincy University","IL",NA,13869,39884,20196,5574,"latest"
"5",1,"Olney Central College","IL",2456,NA,7958,4750,6556,"latest"
"6",1,"Morton College","IL",4342,NA,9245,8000,8707,"latest"
"7",1,"Illinois Valley Community College","IL",6233,NA,11082,9000,8051,"latest"
"8",2,"Lincoln Christian University","IL",NA,17727,25766,23500,5857,"latest"
"9",2,"Northern Baptist Theological Seminary","IL",NA,NA,NA,NA,6535,"latest"
"10",2,"Holy Cross College","IN",NA,24666,43289,26000,5263,"latest"
"11",2,"Rush University","IL",NA,NA,NA,18979,12278,"latest"
"12",3,"College of Court Reporting Inc","IN",NA,33029,35682,32500,NA,"latest"
"13",2,"Huntington University","IN",NA,19938,36938,27000,6507,"latest"
"14",2,"University of St Francis","IL",NA,18355,40305,23740,7825,"latest"
"15",1,"Ivy Tech Community College","IN",5955,NA,11812,12000,5642,"latest"
"16",2,"Saint Xavier University","IL",NA,14643,40553,24177,7291,"latest"
"17",3,"Don Roberts Beauty School","IN",NA,9959,NA,8756,NA,"latest"
"18",1,"Shawnee Community College","IL",11415,NA,17732,NA,7523,"latest"
"19",1,"Indiana University-Purdue University-Indianapolis","IN",10987,NA,20704,22343,8512,"latest"
"20",1,"Waubonsee Community College","IL",5631,NA,9465,7000,9746,"latest"
"21",1,"Southeastern Illinois College","IL",6449,NA,12555,NA,6541,"latest"
"22",2,"Grace College and Theological Seminary","IN",NA,20260,33677,19500,7055,"latest"
"23",2,"Wheaton College","IL",NA,26180,47644,21896,9269,"latest"
"24",1,"Spoon River College","IL",9188,NA,15161,NA,6478,"latest"
"25",3,"Lincoln College of Technology-Indianapolis","IN",NA,20880,NA,12000,4280,"latest"
"26",2,"Buena Vista University","IA",NA,20087,45332,24912,6336,"latest"
"27",2,"Manchester University","IN",NA,17979,43805,27000,7849,"latest"
"28",3,"Capri College-Dubuque","IA",NA,9963,NA,7175,NA,"latest"
"29",2,"Saint Mary-of-the-Woods College","IN",NA,16232,42462,21700,5259,"latest"
"30",2,"Saint Meinrad School of Theology","IN",NA,NA,NA,NA,7753,"latest"
"31",2,"Saint Elizabeth School of Nursing","IN",NA,20028,30152,29706,NA,"latest"
"32",3,"Iowa School of Beauty-Marshalltown","IA",NA,14467,NA,NA,NA,"latest"
"33",3,"La James International College-Iowa City","IA",NA,14902,NA,11090,NA,"latest"
"34",2,"Hesston College","KS",NA,19424,38826,12000,4830,"latest"
"35",1,"Henderson Community College","KY",5263,NA,11251,11010,5785,"latest"
"36",1,"Pittsburg State University","KS",13910,NA,18102,19676,7365,"latest"
"37",1,"Jefferson Community and Technical College","KY",5543,NA,11293,13000,5902,"latest"
"38",3,"Summit Salon Academy-Lexington","KY",NA,11657,NA,9500,NA,"latest"
"39",1,"University of Kansas","KS",18571,NA,24996,21105,10156,"latest"
"40",2,"Kansas Wesleyan University","KS",NA,25302,42545,22750,5553,"latest"
"41",1,"Wichita State University-Campus of Applied Sciences and Technology","KS",13875,NA,17918,8967,4499,"latest"
"42",1,"Manhattan Area Technical College","KS",14125,NA,17422,10500,4936,"latest"
"43",2,"Frontier Nursing University","KY",NA,NA,NA,NA,6802,"latest"
"44",3,"Wichita Technical Institute","KS",NA,16746,NA,16500,4291,"latest"
"45",2,"McPherson College","KS",NA,21871,41047,25000,6153,"latest"
"46",3,"PJ's College of Cosmetology-Glasgow","KY",NA,11317,NA,9500,NA,"latest"
"47",1,"Ashland Community and Technical College","KY",5604,NA,11472,9986,5765,"latest"
"48",3,"Barrett and Company School of Hair Design","KY",NA,12566,NA,9373,NA,"latest"
"49",3,"Guy's Shreveport Academy of Cosmetology Inc","LA",NA,12365,NA,NA,NA,"latest"
"50",1,"Massachusetts Bay Community College","MA",13236,NA,17583,6500,7640,"latest"
"51",1,"Massachusetts College of Art and Design","MA",23131,NA,28776,26000,9626,"latest"
"52",2,"Boston College","MA",NA,33562,70588,16939,15323,"latest"
"53",2,"William James College","MA",NA,NA,NA,NA,8979,"latest"
