"","control","university","r_status","state","female","first_gen","poverty_rate","veteran","unemp_rate","white","black","hispanic","asian","indigenous","nhpi","nra","unknown","year"
"1",1,"Indiana University-Purdue University-Indianapolis","R2","IN",0.609940853,0.35086149,6.199999809,0.003943136,2.900000095,0.6842,0.0911,0.0823,0.0496,8e-04,4e-04,0.0396,0.005,"latest"
"2",1,"University of Kansas","R1","KS",0.547597184,0.222240207,5.239999771,0.004285277,2.5,0.7078,0.0425,0.0847,0.048,0.0031,9e-04,0.057,0.0042,"latest"
"3",2,"Boston College","R1","MA",0.518944844,0.131895687,5.929999828,0.00372473251787072,2.880000114,0.5888,0.0408,0.1097,0.1008,2e-04,3e-04,0.0779,0.0472,"latest"
"4",1,"Oakland University","R2","MI",0.607804233,0.324252609,5.739999771,0.002314815,3.210000038,0.7388,0.077,0.0389,0.0478,0.003,0.001,0.0218,0.0392,"latest"
"5",1,"University of Mississippi","R1","MS",0.608056266,0.235026918,12.17000008,0.001758312,3.640000105,0.7784,0.1233,0.0355,0.0188,0.0029,0.001,0.016,1e-04,"latest"
"6",1,"Missouri University of Science and Technology","R2","MO",0.241320189,0.224921278,7.309999943,0.00496156547632653,3.049999952,0.8149,0.0302,0.0383,0.0371,0.0029,0,0.0273,0.0162,"latest"
"7",2,"Washington University in St Louis","R1","MO",0.534246575,0.114071607,6.170000076,0.00372473251787072,3.039999962,0.5098,0.0901,0.0935,0.1642,4e-04,7e-04,0.0749,0.0189,"latest"
"8",1,"Montana State University","R1","MT",0.492807234,0.233182893,8.579999924,0.004932183,3.789999962,0.8408,0.0054,0.0431,0.0098,0.0136,0.0012,0.0251,0.0106,"latest"
"9",1,"University of Nebraska at Omaha","R2","NE",0.560827251,0.347865577,5.360000134,0.003041363,2.319999933,0.6541,0.0638,0.1378,0.04,0.0029,0.001,0.0412,0.0136,"latest"
"10",1,"University of Nevada-Las Vegas","R1","NV",0.596626288,0.423497963,7.25,0.005207744,3.829999924,0.3016,0.0764,0.3043,0.1588,0.0031,0.0089,0.0347,0.0041,"latest"
"11",1,"University of Colorado Boulder","R1","CO",0.481516291,0.203573185,4.519999981,0.003446115,2.730000019,0.6745,0.0157,0.122,0.0566,0.0016,9e-04,0.0649,0.0057,"latest"
"12",2,"University of Southern California","R1","CA",0.55406472,0.24717833,8.75,0.00372473251787072,3.670000076,0.3922,0.0458,0.1526,0.2075,0.0012,0.0024,0.1274,0.0127,"latest"
"13",2,"Yale University","R1","CT",0.500683995,0.25,7.769999981,0.00372473251787072,3.529999971,0.4231,0.0753,0.1338,0.1882,0.0047,7e-04,0.1083,0.0044,"latest"
"14",1,"Delaware State University","R2","DE",0.665422305,0.355045382,10.85000038,0.00496156547632653,4.650000095,0.0832,0.7392,0.0694,0.0052,0.0026,0.0016,0.0407,0.0013,"latest"
"15",1,"Florida International University","R1","FL",0.606936085,0.414037389,11.60000038,0.004528518,4.420000076,0.0865,0.1195,0.67,0.0242,5e-04,8e-04,0.0696,0.0039,"latest"
"16",1,"Florida State University","R1","FL",0.584465415,0.27636404,8.899999619,0.002074043,3.619999886,0.6038,0.0862,0.2127,0.0249,0.002,0.0013,0.0168,0.0133,"latest"
"17",1,"University of South Florida-Main Campus","R1","FL",0.605735746,0.357541899,7.980000019,0.004643223,3.200000048,0.4709,0.1009,0.2127,0.0706,0.0017,0.0016,0.0669,0.0347,"latest"
"18",1,"University of Hawaii at Manoa","R1","HI",0.598799631,0.338430684,7.199999809,0.003924284,3.529999971,0.1669,0.0148,0.1159,0.3927,0.0013,0.0272,0.0304,0.0018,"latest"
"19",2,"Mercer University","R2","GA",0.663894325,0.281995662,7.929999828,0.00496156547632653,3.109999895,0.4758,0.2821,0.0598,0.0749,0.0017,8e-04,0.0225,0.0451,"latest"
"20",1,"Georgia Southern University","R2","GA",0.529356316,0.25100344,9.619999886,0.002423916,3.420000076,0.5944,0.2534,0.0676,0.0223,0.0037,0.0013,0.0148,0.0047,"latest"
"21",1,"Oregon State University","R1","OR",0.508355732,0.31369606,7.5,0.004557672,3.930000067,0.6388,0.0133,0.101,0.0769,0.005,0.0027,0.0662,0.0225,"latest"
